Lake_ID,Lake_name,real_name,DNAsampleID,NVE_number,Longitude,Latitude,Altitude,sample_date,lake_temp,pH,conductivity,alkalinity,Ar (ppm),O2 (ppm),N2 (ppm),CO2 (ppm),CH4 (ppm),N2O (ppm),Ar (ppm/h),O2 (ppm/h),N2 (ppm/h),CO2 (ppm/h),CH4 (ppm/h),N2O (ppm/h),TOC,DOC,TN,DN,TOTP,DP,DNA_conc,filtered_vol
12777,Kroderen,Krøderen,L41,521,9.619445,60.180935,,,7.9,7.1,13.66,0.236,0.00,0.00,0.00,621.74,0.37,0.02,0.52,2.67,20.34,10.22,0.01,0.00,,,,,,,5.76,550
12832,Soneren,Soneren,L15,546,9.585546,60.042745,,,7.8,6.51,23,0.172,43.21,0.00,0.00,762.06,1.11,0.08,-1.16,-23.39,-45.03,2.81,0.00,0.00,,,,,,,3.64,440
12839,Eikeren,Eikeren,L52,542,9.843788,59.69984,,,7.6,7.16,70.94,0.699,0.00,0.00,0.00,2927.16,0.55,0.04,1.08,0.32,-30.23,10.66,0.01,0.00,,,,,,,13.5,1800
12841,Skogsvatnet,Skogsvatnet,L68,6002,9.937482,59.82288,,,4.9,7.21,60.67,1.004,8.54,0.00,0.00,6270.84,23.69,0.04,-0.90,-24.46,-60.13,-17.24,-0.02,0.00,,,,,,,11.7,960
12851,Vassfjorden,Vassfjorden,L34,16403,8.421757,60.690809,,,5.9,7.24,18.23,0.393,0.00,0.00,1180.43,1367.41,0.85,0.00,0.24,-3.34,-48.58,15.80,0.01,0.00,,,,,,,4.86,440
12917,Snolosvatn,Snøløsvatn,L51,0,8.456736,58.481354,,,5.3,6.15,22.93,0.127,0.00,0.00,36.08,471.45,2.40,0.00,-0.49,-5.59,6.94,6.06,0.01,0.00,,,,,,,0,350
12923,Stavvatn,Stavvatn,L47,9453,8.973607,58.712395,,,4.3,5.06,23.45,0.08,0.00,0.00,705.53,1385.01,10.44,0.07,-0.67,-34.69,-50.13,9.09,0.04,0.00,,,,,,,6.6,200
12925,Dalsvatnet,Dalsvatnet,L44,9042,9.163271,58.754326,,,6.8,6.23,57.21,0.184,0.00,0.00,0.00,749.91,3.66,0.01,1.48,10.02,55.33,3.30,0.02,0.00,,,,,,,2.3,350
12929,Valandstjern,Vålandstjern,L53,10028,8.726687,58.497914,,,4.7,5.98,39.64,0.259,22.54,0.00,1722.31,2192.08,9.83,0.00,0.76,-17.70,61.38,7.57,-0.06,0.00,,,,,,,5.48,250
12931,Stokkebuvatnet,Stokkebuvatnet,L49,10026,8.969279,58.612051,,,4.9,6.04,36.02,0.219,0.00,0.00,942.25,981.53,25.75,0.01,-0.11,-23.59,-13.12,5.45,0.04,0.00,,,,,,,2.58,250
12955,Midtvatnet,Midtvatnet,L43,9588,8.746143,58.689426,,,6.1,5.94,28.64,0.189,5.79,0.00,1918.56,797.88,6.51,0.00,0.86,-3.17,14.95,7.52,0.04,0.00,,,,,,,3.08,250
12956,Ljostadvann,Ljøstadvann,L45,9198,8.907225,58.753368,,,4.2,5.89,23.05,0.169,24.18,0.00,241.21,1139.80,10.62,0.03,1.26,-19.26,43.91,11.15,0.17,0.00,,,,,,,2.18,250
12957,HOH_170,HOH 170,L48,9304,8.938599,58.738035,,,0.8,5.47,21.91,0.127,0.00,0.00,0.00,1832.83,91.02,0.01,2.29,-27.93,97.10,10.61,0.56,0.00,,,,,,,2,250
12964,Imetjern,Imetjern,L46,9234,8.495808,58.747538,,,3.4,6.05,21.28,0.167,63.26,0.00,594.37,1487.95,124.90,0.02,1.23,-4.64,102.84,9.18,0.14,0.00,,,,,,,0,100
12999,Eintjenn,Eintjenn,L24,4313,12.372,60.071,,,6.2,6.75,22,0.431,5.14,0.00,0.00,2701.22,99.53,0.01,0.89,-31.46,22.80,8.40,0.20,0.00,,,,,,,2.12,110
13000,Nordre_Harsjoen,Nordre Hærsjøen,L14,371,12.385,60.109,,,8,6.55,15.79,0.19,17.73,0.00,1014.72,760.59,1.75,0.00,0.65,-8.18,26.54,3.03,0.05,0.00,,,,,,,5.44,450
13008,Tennungen,Tennungen,L13,4041,11.447,60.356,,,6.7,5.51,11.89,4.48,37.81,0.00,170.13,1295.40,14.13,0.05,0.82,-31.79,22.57,4.44,0.11,0.00,,,,,,,8.42,500
13018,Storsjoen,Storsjøen,L25,125,11.357173,61.395858,,,8.9,7.41,24.1,0.737,67.44,1332.44,2828.59,3475.83,0.45,0.00,-0.11,-5.39,-31.16,12.20,0.00,0.00,,,,,,,4.22,
13037,Mjosa,Mjøsa,L28,118,10.678805,60.821181,,,9.4,7.4,21.2,0.544,0.00,0.00,3884.35,2166.22,0.59,0.01,0.21,-1.58,-24.89,10.98,0.00,0.00,,,,,,,3.82,500
13039,Sjusjoen,Sjusjøen,L27,257,10.712661,61.143073,,,4.3,6.91,9.68,0.238,0.00,0.00,4680.51,613.44,1.99,0.01,0.95,3.65,-21.58,5.97,0.00,0.00,,,,,,,4.8,300
13051,Igletjernet,Igletjernet,L60,4091,11.706,60.28,,,7.3,6.48,16.15,0.387,0.00,0.00,1405.97,2022.20,8.01,0.01,0.06,-22.20,23.53,4.15,0.02,0.00,,,,,,,7.52,500
13079,Grummestadvatnet,Grummestadvatnet,L66,7954,9.477768,58.94375,,,NA,6.54,54.55,0.425,0.00,0.00,13.24,989.31,0.78,0.03,1.66,24.25,132.23,16.21,0.01,0.00,,,,,,,13.8,300
13089,Eldhustjenna,Eldhustjenna,L71,7669,9.208608,58.998787,,,7.6,5.51,31.27,0.187,0.00,0.00,122.32,4674.09,34.69,0.62,2.12,-42.30,127.01,14.29,0.11,0.00,,,,,,,9.2,420
13094,Sandvatnet,Sandvatnet,L74,15096,8.748224,59.087589,,,6.7,5.87,13.25,0.1,0.00,0.00,0.00,503.67,3.04,0.02,-0.01,-8.13,-2.18,1.21,0.00,0.00,,,,,,,2.58,360
13109,Fyresvatnet,Fyresvatnet,L55,1274,8.083827,59.181786,,,8.4,6.39,14.83,0.091,0.00,0.00,0.00,433.50,1.03,0.11,2.16,28.88,76.16,0.98,0.00,0.00,,,,,,,2.32,540
13130,Lonstravatnet,Lønstravatnet,L57,8466,9.23817,58.869925,,,NA,5.6,27,0.119,0.00,0.00,0.00,606.53,3.74,0.03,0.44,-0.23,21.39,3.03,0.02,0.00,,,,,,,2.48,300
13131,HOH_50,HOH50,L62,8356,9.282107,58.89143,,,NA,6.46,57.38,0.421,0.00,0.00,0.00,4112.07,28.61,0.15,1.06,-36.02,63.80,13.30,0.06,0.00,,,,,,,7.16,300
13138,Kviteseidvatnet,Kviteseidvatnet,L69,8,8.529699,59.368056,,,9.1,6.63,18.96,0.251,0.00,0.00,0.00,1026.47,1.54,0.05,-0.63,-16.07,-58.81,-1.83,0.00,0.00,,,,,,,2.44,480
13154,Heddalsvatnet,Heddalsvatnet,L72,1,9.316061,59.510034,,,8.5,6.6,22.12,0.219,0.00,0.00,0.00,766.86,5.66,0.06,0.68,11.95,38.77,-1.11,-0.05,0.00,,,,,,,2.82,300
13156,Sonstevatn,Sønstevatn,L65,33,9.146021,59.739848,,,6,6.79,21.94,0.289,0.00,0.00,0.00,906.10,10.43,0.02,0.12,-10.30,-55.39,4.62,0.04,0.00,,,,,,,7.82,1200
13157,Surtetjørn,Surtetjørn,L73,12683,9.120064,59.77253,,,5.2,5.06,16.48,0.091,0.00,0.00,0.00,701.11,5.69,0.05,-0.05,-12.99,-32.08,1.70,0.00,0.00,,,,,,,2.5,720
13163,Bortevatn,Børtevatn,L70,6447,9.355979,59.408652,,,7.6,6.68,29.05,0.362,0.00,0.00,0.00,2012.81,5.21,0.06,2.21,12.00,63.55,-5.41,-0.01,0.00,,,,,,,8.28,420
13196,Sandvatn,Sandvatn,L63,34,9.08589,59.804559,,,6.1,6.47,22.55,0.189,0.00,0.00,0.00,791.75,5.10,0.06,0.18,-17.75,-56.47,4.22,0.02,0.00,,,,,,,8.62,600
13437,Bergsvannet,Bergsvannet,L54,519,10.062187,59.578689,,,3.6,7.01,96.1,0.999,0.00,0.00,0.00,3959.82,2.94,0.15,1.29,-9.27,56.59,27.77,0.00,0.00,,,,,,,8.28,480
13439,Solbergvatnet,Solbergvatnet,L64,5855,9.9918566,59.3324216,,,0.2,6.64,36.4,0.323,0.00,0.00,335.05,1487.60,57.23,0.00,-0.06,-3.96,-12.83,15.70,0.29,0.00,,,,,,,5.46,780
