"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"40" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_curvata"
"41" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Eurytemora" "Eurytemora_affinis"
"42" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"43" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-B1" NA NA
"44" "Eukaryota" "Alveolata" "Ciliophora" "Oligohymenophorea" "Scuticociliatia_2" "Histiobalantiidae" "Histiobalantium" "Histiobalantium_sp."
"45" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Hemiselmis" "Hemiselmis_cryptochromatica"
"46" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Ostracoda" NA NA
"47" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Cyclops" "Cyclops_sp."
"48" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Pelagostrombidiidae" "Limnostrombidium" "Limnostrombidium_sp."
"49" "Eukaryota" "Alveolata" "Ciliophora" "Heterotrichea" "Heterotrichea_X" "Stentoridae" "Stentor" "Stentor_polymorphus"
"50" "Eukaryota" "Alveolata" "Ciliophora" "Litostomatea" "Rhynchostomatia" "Tracheliidae" "Trachelius" "Trachelius_ovum"
"51" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"52" "Eukaryota" NA NA NA NA NA NA NA
"53" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-B2" "Chrysamoeba" "Chrysamoeba_tenera"
"54" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_J" "Strobilidiidae_J_X" "Strobilidiidae_J_X_sp."
"55" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"56" "Eukaryota" "Opisthokonta" "Fungi" "Basidiomycota" "Pucciniomycotina" "Cystobasidiomycetes" "Rhodotorula" "Rhodotorula_yarrowii"
"57" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_G" "Strobilidiidae_G_X" "Strobilidiidae_G_X_sp."
"58" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" "Hypotrichia_X" "Hypotrichia_XX" "Hypotrichia_XX_sp."
"59" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" NA NA NA
"60" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-E" "Chrysophyceae_Clade-E_X" "Chrysophyceae_Clade-E_X_sp."
"61" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_J" "Strobilidiidae_J_X" "Strobilidiidae_J_X_sp."
"62" "Eukaryota" "Alveolata" "Perkinsea" "Perkinsida" "Perkinsida_X" "Perkinsida_XX" "Perkinsida_XXX" "Perkinsida_XXX_sp."
"63" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_J" "Strobilidiidae_J_X" "Strobilidiidae_J_X_sp."
"64" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"65" "Eukaryota" "Alveolata" "Ciliophora" "CONThreeP" "CONThreeP_X" "CONThreeP_XX" "Askenasia" "Askenasia_sp."
"66" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_B" "Strobilidiidae_B_X" "Strobilidiidae_B_X_sp."
"67" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" NA NA NA
"68" "Eukaryota" "Alveolata" "Perkinsea" "Perkinsida" "Perkinsida_X" "Perkinsida_XX" "Perkinsida_XXX" "Perkinsida_XXX_sp."
"69" "Eukaryota" "Opisthokonta" "Fungi" "Ascomycota" "Saccharomycotina" "Saccharomycetales" "Candida" "Candida_albicans"
"70" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida_A" "Strombidiida_A_X" "Strombidiida_A_XX" "Strombidiida_A_XX_sp."
"71" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Thoracosphaeraceae" "Thoracosphaeraceae_X" "Thoracosphaeraceae_X_sp."
"72" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"73" "Eukaryota" "Alveolata" NA NA NA NA NA NA
"74" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"75" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida_A" "Strombidiida_A_X" "Strombidiida_A_XX" "Strombidiida_A_XX_sp."
"76" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Komma" "Komma_caudata"
"77" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"78" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"79" "Eukaryota" "Alveolata" "Ciliophora" "Oligohymenophorea" "Peritrichia_2" "Sessilida" "Vorticella" "Vorticella_campanula"
"80" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"81" "Eukaryota" "Alveolata" "Ciliophora" "CONThreeP" "CONThreeP_X" "CONThreeP_XX" "Askenasia" "Askenasia_sp."
"82" "Eukaryota" "Alveolata" "Ciliophora" "Oligohymenophorea" "Peritrichia_2" "Sessilida" "Vorticella" "Vorticella_gracilis"
"83" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Mallomonas" "Mallomonas_elongata"
"84" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"85" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" NA NA NA
"86" "Eukaryota" "Stramenopiles" "Pseudofungi" "Pirsonia_Clade" "Pirsonia_Clade_X" "Pirsonia_Clade_XX" "Pirsonia_Clade__XXX" "Pirsonia_Clade__XXX_sp."
"87" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" NA NA
"88" "Eukaryota" "Alveolata" "Ciliophora" "CONThreeP" "CONThreeP_X" "CONThreeP_XX" "Askenasia" "Askenasia_sp."
"89" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" NA NA
"90" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Dinophyceae_X" "Dinophyceae_XX" "Dinophyceae_XXX" "Dinophyceae_XXX_sp."
"91" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Mallomonas" "Mallomonas_sp."
"92" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_tetrapyrenoidosa"
"93" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"94" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" "Brachionus" NA
"95" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Dinophyceae_X" "Dinophyceae_XX" "Dinophyceae_XXX" "Dinophyceae_XXX_sp."
"96" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"97" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Tintinnida" "Tintinnidiidae" "Tintinnidium" "Tintinnidium_sp."
"98" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_B" "Strobilidiidae_B_X" "Strobilidiidae_B_X_sp."
"99" "Eukaryota" "Stramenopiles" "Ochrophyta" "Dictyochophyceae" "Dictyochophyceae_X" "Pedinellales" "Pedinellales_X" "Pedinellales_X_sp."
"100" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" NA NA
"101" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" "Pseudodendromonadales_XX" "Pseudodendromonadales_XX_sp."
"102" "Eukaryota" "Alveolata" "Ciliophora" "Oligohymenophorea" "Peritrichia_2" "Sessilida" "Vorticella" "Vorticella_microstoma"
"103" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_C" "Strobilidiidae_C_X" "Strobilidiidae_C_X_sp."
"104" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Radial-centric-basal-Coscinodiscophyceae" "Aulacoseira" "Aulacoseira_subarctica"
"105" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"106" "Eukaryota" "Archaeplastida" "Chlorophyta" "Chlorophyceae" "Chlamydomonadales" "Chlamydomonadales_X" NA NA
"107" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Mallomonas" "Mallomonas_punctifera"
"108" "Eukaryota" "Stramenopiles" "Ochrophyta" "Dictyochophyceae" "Dictyochophyceae_X" "Pedinellales" "Pseudopedinella" "Pseudopedinella_sp."
"109" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Prorocentrales" "Prorocentraceae" "Prorocentrum" "Prorocentrum_sp."
"110" "Eukaryota" "Alveolata" "Ciliophora" "CONTH_5" "CONTH_5_X" "CONTH_5_XX" "CONTH_5_XXX" "CONTH_5_XXX_sp."
"111" "Eukaryota" "Alveolata" "Ciliophora" "Cyclotrichium_like_organism" "Cyclotrichium_like_organism_X" "Cyclotrichium_like_organism_XX" "Cyclotrichium" "Cyclotrichium_cyclokaryon"
"112" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-D" "Chrysophyceae_Clade-D_X" "Chrysophyceae_Clade-D_X_sp."
"113" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_pyrenoidifera"
"114" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" NA NA
"115" "Eukaryota" "Hacrobia" "Centroheliozoa" "Centroheliozoa_X" "Pterocystida" "Choanocystidae" "Choanocystis" "Choanocystis_sp."
"116" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" NA NA NA
"117" "Eukaryota" NA NA NA NA NA NA NA
"118" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" NA NA NA
"119" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" NA NA
"120" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" "Synchaeta" "Synchaeta_pectinata"
"121" "Eukaryota" "Alveolata" NA NA NA NA NA NA
"122" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gyrodinium" "Gyrodinium_helveticum"
"123" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Prorocentrales" "Prorocentraceae" "Prorocentrum" "Prorocentrum_sp."
"124" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Chrysophyceae_Clade-C_X" "Chrysophyceae_Clade-C_X_sp."
"125" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Tintinnida" "Tintinnidiidae" "Tintinnidium" "Tintinnidium_sp."
"126" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Suessiales" "Suessiaceae" NA NA
"127" "Eukaryota" "Stramenopiles" "Ochrophyta" "Dictyochophyceae" "Dictyochophyceae_X" "Pedinellales" "Pedinellales_X" "Pedinellales_X_sp."
"128" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_pyrenoidifera"
"129" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Araphid-pennate" "Diatoma" "Diatoma_tenue"
"130" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Mallomonas" "Mallomonas_heterospina"
