"","input","filtered","merged","final"
"L21_S172_L001_R1_001.fastq.gz",89981,47841,32324,32278
"L22_S173_L001_R1_001.fastq.gz",71504,40187,28535,28535
"L23_S174_L001_R1_001.fastq.gz",59042,30590,18821,18694
"L24_S175_L001_R1_001.fastq.gz",73068,39385,17154,17154
"L25_S176_L001_R1_001.fastq.gz",82009,48066,38549,38426
"L26_S177_L001_R1_001.fastq.gz",52298,27452,16031,15927
"L3_S155_L001_R1_001.fastq.gz",57252,31309,17330,17311
"L5_S156_L001_R1_001.fastq.gz",72287,40221,33573,33180
"L6_S157_L001_R1_001.fastq.gz",62375,35501,31543,31543
"L7_S158_L001_R1_001.fastq.gz",65848,34806,22244,22244
"L8_S159_L001_R1_001.fastq.gz",58093,29872,6843,6843
"L9_S160_L001_R1_001.fastq.gz",69362,38471,24693,24659
