"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"68" "Eukaryota" NA NA NA NA NA
"69" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Peridiniales_fa" "Peridinium"
"70" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"71" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" "Spirostrombidium"
"72" "Eukaryota" "Arthropoda" "Branchiopoda" NA NA NA
"73" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" NA
"74" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"75" "Eukaryota" "Kathablepharidae" "Kathablepharidae_cl" "Kathablepharidae_or" "Kathablepharidae_fa" "Leucocryptos"
"76" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"77" "Eukaryota" NA NA NA NA NA
"78" "Eukaryota" "Rotifera" "Monogononta" "Flosculariacea" NA NA
"79" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"80" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
"81" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" "Strombidium"
"82" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"83" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
"84" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"85" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "P34.45" NA NA
"86" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"87" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Pelagostrobilidium"
"88" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Pelagodinium"
"89" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnidium"
"90" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"91" "Eukaryota" NA NA NA NA NA
"92" "Eukaryota" "Cercozoa" "Imbricatea" "Marimonadida" "Marimonadida_fa" "Pseudopirsonia"
"93" "Eukaryota" "Arthropoda" "Branchiopoda" "Notostraca" NA NA
"94" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Synura"
"95" "Eukaryota" "Diatomea" "Mediophyceae" NA NA NA
"96" "Eukaryota" "Cercozoa" "Imbricatea" "Marimonadida" "Marimonadida_fa" "Pseudopirsonia"
"97" "Eukaryota" NA NA NA NA NA
"98" "Eukaryota" "Ochrophyta_ph" "Ochrophyta_cl" "Ochrophyta_or" "Ochrophyta_fa" "Bolidomonas"
"99" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Biecheleria"
"100" "Eukaryota" "MAST-2" NA NA NA NA
"101" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"102" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" "Stokesia"
"103" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"104" "Eukaryota" NA NA NA NA NA
"105" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"106" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"107" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"108" "Eukaryota" NA NA NA NA NA
"109" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"110" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"111" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"112" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"113" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"114" "Eukaryota" "Diatomea" "Mediophyceae" "Mediophyceae_or" "Mediophyceae_fa" "Stephanodiscus"
"115" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Symbiodinium"
"116" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"117" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" NA
"118" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"119" "Eukaryota" "Rotifera" "Monogononta" "Flosculariacea" NA NA
"120" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"121" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"122" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"123" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"124" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"125" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"126" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" "Zoothamnium"
"127" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"128" "Eukaryota" "Aphelidea" "Aphelidea_cl" "Aphelidea_or" "Aphelidea_fa" NA
"129" "Eukaryota" "Holozoa_ph" "Choanoflagellida" "Codonosigidae" "Codonosigidae_fa" "Monosiga"
"130" "Eukaryota" "Incertae_Sedis_ph" "Incertae_Sedis_cl" "Incertae_Sedis_or" "Incertae_Sedis_fa" "Telonema"
"131" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"132" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"133" "Eukaryota" NA NA NA NA NA
"134" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gonyaulacales" "Gonyaulacales_fa" "Ceratium"
"135" "Eukaryota" NA NA NA NA NA
"136" "Eukaryota" NA NA NA NA NA
"137" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"138" "Eukaryota" "Prymnesiophyceae" "Prymnesiophyceae_cl" "Prymnesiales" "Prymnesiales_fa" "Chrysochromulina"
"139" "Eukaryota" "Arthropoda" "Branchiopoda" "Diplostraca" NA NA
"140" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Uroleptus"
"141" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Chrysamoeba"
"142" "Eukaryota" "Peronosporomycetes" NA NA NA NA
"143" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"144" "Eukaryota" "Arthropoda" "Branchiopoda" "Notostraca" NA NA
"145" "Eukaryota" NA NA NA NA NA
"146" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"147" "Eukaryota" "Cercozoa" NA NA NA NA
"148" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"149" "Eukaryota" "Ascomycota" "Dothideomycetes" "Capnodiales" "Cladosporiaceae" "Cladosporium"
"150" "Eukaryota" "Chlorophyta_ph" "Trebouxiophyceae" NA NA NA
"151" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Rhizophydiales" NA NA
"152" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Chrysamoeba"
"153" "Eukaryota" NA NA NA NA NA
