"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"45" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"46" "Eukaryota" NA NA NA NA NA NA NA
"47" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Cyclops" "Cyclops_sp."
"48" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Dinobryon" "Dinobryon_divergens"
"49" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"50" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Plagioselmis" "Plagioselmis_nannoplanctica"
"51" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" NA NA
"52" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"53" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-B2" "Chrysosphaerella" "Chrysosphaerella_longispina"
"54" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"55" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Cyclopidae" "Cyclopidae_sp."
"56" "Eukaryota" "Alveolata" "Ciliophora" "CONThreeP" "CONThreeP_X" "Urotrichidae" "Urotricha" "Urotricha_sp."
"57" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" NA NA NA
"58" "Eukaryota" "Alveolata" "Perkinsea" "Perkinsida" "Perkinsida_X" "Perkinsida_XX" "Perkinsida_XXX" "Perkinsida_XXX_sp."
"59" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Pelagostrombidiidae" "Limnostrombidium" "Limnostrombidium_sp."
"60" "Eukaryota" "Stramenopiles" "Pseudofungi" "Oomycota" "Oomycota_X" "Saprolegniales" "Saprolegnia" "Saprolegnia_parasitica"
